Tanggal;Harga
28/07/2022;148100
29/07/2022;148100
01/08/2022;148400
02/08/2022;148150
03/08/2022;148150
04/08/2022;147900
05/08/2022;147900
08/08/2022;148250
09/08/2022;148050
10/08/2022;148050
11/08/2022;149450
12/08/2022;148650
15/08/2022;148050
16/08/2022;147550
17/08/2022;146700
18/08/2022;147600
19/08/2022;147200
22/08/2022;148800
23/08/2022;148800
24/08/2022;148600
25/08/2022;148900
26/08/2022;148700
29/08/2022;149300
30/08/2022;150650
31/08/2022;150300
01/09/2022;149550
02/09/2022;141200
05/09/2022;150450
06/09/2022;151000
07/09/2022;151650
08/09/2022;152550
09/09/2022;152900
12/09/2022;153200
13/09/2022;153300
14/09/2022;153350
15/09/2022;148050
16/09/2022;154500
19/09/2022;154250
20/09/2022;154500
21/09/2022;149100
22/09/2022;154500
23/09/2022;154500
26/09/2022;154250
27/09/2022;155900
28/09/2022;155050
29/09/2022;155150
30/09/2022;155900
03/10/2022;154550
04/10/2022;154550
05/10/2022;154500
06/10/2022;154550
07/10/2022;154400
10/10/2022;154550
11/10/2022;154500
12/10/2022;154500
13/10/2022;154700
14/10/2022;155250
17/10/2022;154550
18/10/2022;154400
19/10/2022;153850
20/10/2022;154400
21/10/2022;151750
24/10/2022;154950
25/10/2022;154650
26/10/2022;154450
27/10/2022;154650
28/10/2022;154450
31/10/2022;154450
01/11/2022;154450
02/11/2022;154450
03/11/2022;154650
04/11/2022;153900
07/11/2022;153900
08/11/2022;154450
09/11/2022;154650
10/11/2022;154450
11/11/2022;137650
14/11/2022;154450
15/11/2022;153900
16/11/2022;155300
17/11/2022;147500
18/11/2022;154700
21/11/2022;153900
22/11/2022;154700
23/11/2022;154700
24/11/2022;154600
25/11/2022;154500
28/11/2022;153650
29/11/2022;153650
30/11/2022;153650
01/12/2022;153650
02/12/2022;153650
05/12/2022;154600
06/12/2022;154600
07/12/2022;154600
08/12/2022;154600
09/12/2022;154500
12/12/2022;154600
13/12/2022;153650
14/12/2022;154600
15/12/2022;155050
16/12/2022;155050
19/12/2022;154550
20/12/2022;151700
21/12/2022;152300
22/12/2022;151700
23/12/2022;134300
26/12/2022;153700
27/12/2022;154200
28/12/2022;154300
29/12/2022;154300
30/12/2022;154300
02/01/2023;152950
03/01/2023;152900
04/01/2023;152700
05/01/2023;153900
06/01/2023;153250
09/01/2023;156700
10/01/2023;157300
11/01/2023;156700
12/01/2023;156050
13/01/2023;157600
16/01/2023;157050
17/01/2023;157600
18/01/2023;157050
19/01/2023;157600
20/01/2023;157600
23/01/2023;155500
24/01/2023;156050
25/01/2023;157600
26/01/2023;157600
27/01/2023;157050
30/01/2023;157650
31/01/2023;157100
01/02/2023;157650
02/02/2023;157650
03/02/2023;157150
06/02/2023;157600
07/02/2023;157050
08/02/2023;155950
09/02/2023;156500
10/02/2023;153150
13/02/2023;157050
14/02/2023;156700
15/02/2023;156700
16/02/2023;156700
17/02/2023;156150
20/02/2023;158200
21/02/2023;157300
22/02/2023;157300
23/02/2023;157200
24/02/2023;158150
27/02/2023;156650
28/02/2023;156050
01/03/2023;156100
02/03/2023;156100
03/03/2023;156150
06/03/2023;156100
07/03/2023;155500
08/03/2023;156300
09/03/2023;157800
10/03/2023;157300
13/03/2023;156100
14/03/2023;156950
15/03/2023;156650
16/03/2023;157500
17/03/2023;157200
20/03/2023;158350
21/03/2023;158350
22/03/2023;157500
23/03/2023;157750
24/03/2023;159500
27/03/2023;157300
28/03/2023;158450
29/03/2023;157350
30/03/2023;156150
31/03/2023;156150
03/04/2023;157400
04/04/2023;157850
05/04/2023;157700
06/04/2023;158350
07/04/2023;160500
10/04/2023;159100
11/04/2023;158850
12/04/2023;159800
13/04/2023;160700
14/04/2023;161000
17/04/2023;160650
18/04/2023;168350
19/04/2023;178500
20/04/2023;181000
21/04/2023;189000
24/04/2023;
25/04/2023;
26/04/2023;166450
27/04/2023;166350
28/04/2023;163000
01/05/2023;162000
02/05/2023;162050
03/05/2023;161050
04/05/2023;162150
05/05/2023;161000
08/05/2023;158500
09/05/2023;139800
10/05/2023;157350
11/05/2023;157850
12/05/2023;157850
15/05/2023;158150
16/05/2023;159000
17/05/2023;159000
18/05/2023;162500
19/05/2023;159000
22/05/2023;159000
23/05/2023;159000
24/05/2023;158950
25/05/2023;158350
